transaction_id,time_of_purchase,purchase_amount,customer_id,fname,lname,age,addr_city,email,has_paid_before,annual_salary,type_of_goods,delivery_city,ip_country,is_fraud
2001563,16:52:11,15249,3941,Agneta,Jansson,28,Stockholm,agneta.jansson@hotmail.com,t,-,Clothing,Stockholm,SE,f
1997663,14:20:45,9334,122158,Agneta,Gustafsson,73,Malmö,agneta_gustafsson@gmail.com,f,340000,Dating,Malmö,SE,f
2013263,12:26:00,8744,25977,Agneta,Olofsson,60,Stockholm,agneta.olofsson@hotmail.com,t,304000,Clothing,Stockholm,SE,f
2009363,15:13:01,6779,31238,Agneta,Petersson,66,Stockholm,agneta.petersson@hotmail.com,t,76000,Electronics,Stockholm,SE,f
1988563,16:08:04,4963,37499,Agneta,Karlsson,36,Lund,agn.karl@yahoo.se,f,228000,Tickets,Lund,FI,f
2032763,16:20:38,4485,19884,Agneta,Sjoberg,52,Stockholm,agneta.sjoberg@hotmail.com,t,493000,Clothing,Stockholm,SE,f
1991163,20:46:27,4275,119430,Agneta,Eriksson,40,Stockholm,ojr16tfv@live.se,f,139000,Clothing,Stockholm,US,f
1995063,16:17:05,4059,61488,Agneta,Persson,75,Malmö,agneta.persson@hotmail.com,f,52000,Tickets,Malmö,NO,f
1996363,11:05:36,3948,113040,Agneta,Svensson,25,Västerås,agn_svensson@hotmail.com,t,264000,Clothing,Västerås,FI,f
2015863,14:45:05,3495,71840,Agneta,Lindgren,37,Västerås,agn_lindgren@hotmail.com,t,220000,Books,Västerås,SE,f
2036663,8:23:08,3465,41707,Agneta,Engstrom,43,Örebro,ag.e@hotmail.com,t,137000,Clothing,Örebro,SE,f
2041863,7:27:22,3369,35950,Agneta,Danielsson,48,Nykvarn,agneta.d@hotmail.com,t,62000,Clothing,Uppsala,SE,f
2049663,17:52:41,2452,22481,Agneta,Holmberg,55,Uppsala,agneta_holmberg@hotmail.com,t,471000,Electronics,Uppsala,SE,f
2000263,16:30:14,2452,48927,Agneta,Jonsson,48,Nykvarn,agn_jonsson@hotmail.com,t,13000,Electronics,Uppsala,SE,f
2006763,17:18:35,2282,70063,Agneta,Carlsson,27,Malmö,agneta.carlsson@hotmail.com,t,138000,Clothing,Malmö,SE,f
2047063,18:12:50,2121,66205,Agneta,Soderberg,42,Stockholm,agneta.soderberg@hotmail.com,t,290000,Clothing,Stockholm,SE,f
2019763,23:16:36,2074,23887,Agneta,Jakobsson,52,Örebro,nw1onv@live.se,f,294000,Food,Örebro,SE,f
2030163,17:55:07,2010,119250,Agneta,Mattsson,28,Stockholm,agneta.mattsson@hotmail.com,t,86000,Tickets,Stockholm,SE,f
2023663,17:59:57,1838,79149,Agneta,Berg,55,Lund,agneta.berg@hotmail.com,t,196000,Clothing,Lund,SE,f
1993763,3:36:14,1678,112984,Agneta,Olsson,25,Stockholm,agneta_olsson@hotmail.com,f,3000,Tickets,Stockholm,NO,f
2043163,17:57:40,1417,21049,Agneta,Hakansson,38,Örebro,agn_hakansson@hotmail.com,t,97000,Dating,Örebro,SE,f
2008063,19:59:59,1338,44277,Agneta,Jonsson,69,Goteborg,agneta.jonsson@telia.com,t,150000,Clothing,Goteborg,FI,f
2024963,17:43:11,889,45297,Agneta,Axelsson,51,Örebro,agn_axelsson@gmail.com,t,42000,Clothing,Örebro,FI,f
2010663,17:40:46,879,83045,Agneta,Magnusson,38,Nykvarn,agn_magnusson@gmail.com,t,9000,Dating,Uppsala,SE,f
2034063,17:48:07,854,29894,Agneta,Lind,36,Stockholm,agneta.lind@hotmail.com,t,91000,Clothing,Stockholm,SE,f
2028863,14:00:27,842,117387,Agneta,Henriksson,60,Stockholm,agneta_henriksson@live.se,f,6000,Books,Stockholm,,f
1985963,21:09:33,813,67653,Agneta,Andersson,28,Stockholm,agneta.andersson@telia.com,f,231000,Clothing,Stockholm,,f
2045763,17:37:40,628,70855,Agneta,Gunnarsson,51,Västerås,agn_gunnarsson@hotmail.com,t,105000,Clothing,Västerås,SE,f
2011963,16:49:03,368,46339,Agneta,Lindstrom,51,Stockholm,agneta.lindstrom@gmail.com,t,-,Food,Stockholm,,f
1992463,21:46:16,250,1467,Agneta,Larsson,72,Linköping,agn_larsson@telia.com,t,393000,Food,Linköping,US,f
2048363,17:14:54,246,119842,Agneta,Nystrom,57,Malmö,agneta.nystrom@hotmail.com,t,417000,Clothing,Malmö,SE,f
2044463,18:04:27,226,96911,Agneta,Holm,46,Linköping,agn_holm@hotmail.com,t,164000,Dating,Linköping,SE,f
2040563,15:26:52,220,32170,Agneta,Bergman,63,Stockholm,agneta.bergman@hotmail.com,t,34000,Clothing,Stockholm,SE,f
2014563,13:58:15,204,49950,Agneta,Gustavsson,32,Örebro,agn_gustavsson@hotmail.com,t,112000,Books,Örebro,SE,f
2002863,14:46:05,200,52222,Agneta,Hansson,46,Nykvarn,agn_hansson@hotmail.com,t,49000,Clothing,Lund,SE,f
1989863,17:51:52,155,80384,Agneta,Nilsson,77,Goteborg,agneta.nilsson@hotmail.com,t,292000,Clothing,Goteborg,SE,f
2027563,12:23:48,135,41152,Agneta,Fredriksson,30,Uppsala,agneta.fredriksson@hotmail.com,t,15000,Food,Uppsala,SE,f
2039263,17:58:38,125,31189,Agneta,Eklund,72,Stockholm,agneta.eklund@hotmail.com,t,-,Tickets,Stockholm,SE,f
2037963,13:39:51,122,41844,Agneta,Lundin,75,Lund,agneta_lundin@hotmail.com,t,139000,Food,Lund,SE,f
2018463,15:04:26,103,46919,Agneta,Bergstrom,51,Stockholm,agneta.bergstrom@hotmail.com,t,209000,Books,Stockholm,SE,f
2031463,12:52:07,102,26784,Agneta,Forsberg,36,Linköping,agn_forsberg@hotmail.com,t,7000,Clothing,Linköping,SE,f
2017163,16:45:49,102,35188,Agneta,Lundberg,41,Stockholm,agneta.lundberg@hotmail.com,t,380000,Food,Stockholm,SE,f
1998963,4:32:07,102,111638,Agneta,Pettersson,44,Stockholm,agneta_pettersson@hotmail.com,f,129000,Food,Stockholm,SE,f
2035363,14:23:50,101,21175,Agneta,Lindqvist,39,Lund,agneta.lindqvist@hotmail.com,t,13000,Clothing,Lund,SE,f
2004163,16:57:29,100,81563,Agneta,Bengtsson,24,Stockholm,agneta.bengtsson@hotmail.com,t,220000,Clothing,Stockholm,SE,f
2005463,16:25:14,100,70505,Agneta,Lindberg,65,Uppsala,agneta.lindberg@hotmail.com,t,28000,Books,Uppsala,SE,f
2022363,17:46:19,100,100408,Agneta,Lundgren,37,Knivsta,ag.lundgr@hotmail.com,t,2000,Food,Malmö,SE,f
2021063,9:13:54,100,82754,Agneta,Berglund,55,Stockholm,agneta.berglund@hotmail.com,t,14000,Clothing,Stockholm,SE,f
2026263,13:49:58,100,121368,Agneta,Sandberg,65,Lund,agneta.sandberg@hotmail.com,t,446000,Clothing,Lund,SE,f
2050391,14:46:30,9334,122158,Agneta,Gustafsson,73,Malmö,agneta_gustafsson@gmail.com,f,340000,Dating,Stockholm,SE,f
2050443,9:37:02,204,111638,Agneta,Pettersson,44,Stockholm,agneta_pettersson@hotmail.com,f,129000,Food,Stockholm,SE,f
2050612,1:39:21,600,52222,Agneta,Hansson,46,Nykvarn,agn_hansson@hotmail.com,t,49000,Clothing,Lund,SE,f
2051535,23:20:49,2074,23887,Agneta,Jakobsson,52,Örebro,nw1onv@live.se,f,294000,Food,Stockholm,SE,f
2051626,1:57:42,200,100408,Agneta,Lundgren,37,Knivsta,ag.lundgr@hotmail.com,t,2000,Food,Malmö,SE,f
2052523,14:39:56,6738,35950,Agneta,Danielsson,48,Nykvarn,agneta.d@hotmail.com,t,62000,Clothing,Uppsala,SE,f
2053511,20:24:17,4904,48927,Agneta,Jonsson,48,Nykvarn,agn_jonsson@hotmail.com,t,13000,Electronics,Uppsala,SE,f
2054226,2:27:27,7356,22481,Agneta,Holmberg,55,Uppsala,agneta_holmberg@hotmail.com,t,471000,Electronics,Uppsala,SE,f
2059036,22:46:15,200,70505,Agneta,Lindberg,65,Uppsala,agneta.lindberg@hotmail.com,t,28000,Books,Uppsala,SE,f
2060921,13:47:57,8744,25977,Agneta,Olofsson,60,Stockholm,agneta.olofsson@hotmail.com,t,304000,Clothing,Stockholm,SE,f
2061558,0:47:49,10485,71840,Agneta,Lindgren,37,Västerås,agn_lindgren@hotmail.com,t,220000,Books,Västerås,SE,f
2064626,18:47:33,270,41152,Agneta,Fredriksson,30,Uppsala,agneta.fredriksson@hotmail.com,t,15000,Food,Uppsala,SE,f
2065536,22:42:19,306,26784,Agneta,Forsberg,36,Linköping,agn_forsberg@hotmail.com,t,7000,Clothing,Linköping,SE,f
2065809,22:45:24,8970,19884,Agneta,Sjoberg,52,Stockholm,agneta.sjoberg@hotmail.com,t,493000,Clothing,Stockholm,SE,f
2066069,3:30:48,2562,29894,Agneta,Lind,36,Stockholm,agneta.lind@hotmail.com,t,91000,Clothing,Stockholm,SE,f
2067122,22:41:58,366,41844,Agneta,Lundin,75,Lund,agneta_lundin@hotmail.com,t,139000,Food,Lund,SE,f
2067759,0:45:00,660,32170,Agneta,Bergman,63,Stockholm,agneta.bergman@hotmail.com,t,34000,Clothing,Stockholm,SE,f
2069319,22:26:18,4242,66205,Agneta,Soderberg,42,Stockholm,agneta.soderberg@hotmail.com,t,290000,Clothing,Stockholm,SE,f
2069761,1:04:02,492,119842,Agneta,Nystrom,57,Malmö,agneta.nystrom@hotmail.com,t,417000,Clothing,Malmö,SE,f
2072400,14:46:30,9334,122158,Agneta,Gustafsson,73,Malmö,agneta_gustafsson@gmail.com,f,340000,Dating,Stockholm,SE,f
2072452,9:37:02,204,111638,Agneta,Pettersson,44,Stockholm,agneta_pettersson@hotmail.com,f,129000,Food,Stockholm,SE,f
2072621,1:39:21,600,52222,Agneta,Hansson,46,Nykvarn,agn_hansson@hotmail.com,t,49000,Clothing,Lund,SE,f
2073544,23:20:49,2074,23887,Agneta,Jakobsson,52,Örebro,nw1onv@live.se,f,294000,Food,Stockholm,SE,f
